number,code,Type
223,"def var0(var1):
    var2, var3 = (len(var1), len(var1[0]))
    var4 = [0] * var3
    for var5 in range(var2):
        var6 = [0] * var3
        for var7 in range(var3):
            if var5 == 0 and var7 == 0:
                var6[var7] = var1[var5][var7]
            elif var5 == 0:
                var6[var7] = var1[var5][var7] + var4[var7 - 1] if var7 > 0 else var1[var5][var7]
            elif var7 == 0:
                var6[var7] = var1[var5][var7] + var6[var7] if var5 > 0 else var1[var5][var7]
            else:
                var6[var7] = var1[var5][var7] + min(var4[var7], var6[var7 - 1])
        var4 = var6
    var8 = ''
    var5, var7 = (var2 - 1, var3 - 1)
    while var5 > 0 or var7 > 0:
        if var5 > 0 and (var7 == 0 or var4[var7] <= var4[var7 - 1] if var7 > 0 else True):
            var8 = 'D' + var8
            var5 -= 1
        else:
            var8 = 'R' + var8
            var7 -= 1
    return (var4[var3 - 1], var8)",Turtle
224,"def var0(var1):
    var2, var3 = (len(var1), len(var1[0]))
    var4 = [[(float('inf'), '') for var5 in range(var3)] for var5 in range(var2)]
    var4[0][0] = (var1[0][0], '')
    for var6 in range(var2):
        for var7 in range(var3):
            if var6 + 1 < var2:
                var8 = var4[var6][var7][0] + var1[var6 + 1][var7]
                if var8 < var4[var6 + 1][var7][0]:
                    var4[var6 + 1][var7] = (var8, var4[var6][var7][1] + 'D')
            if var7 + 1 < var3:
                var8 = var4[var6][var7][0] + var1[var6][var7 + 1]
                if var8 < var4[var6][var7 + 1][0]:
                    var4[var6][var7 + 1] = (var8, var4[var6][var7][1] + 'R')
    return var4[var2 - 1][var3 - 1]",Turtle
225,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0])
    var4 = [[0] * var3 for var5 in range(var2)]
    var6 = [[None] * var3 for var5 in range(var2)]
    var4[0][0] = var1[0][0]
    for var7 in range(var2):
        for var8 in range(var3):
            if var7 == 0 and var8 == 0:
                continue
            if var7 > 0 and var8 > 0:
                if var4[var7 - 1][var8] <= var4[var7][var8 - 1]:
                    var4[var7][var8] = var4[var7 - 1][var8] + var1[var7][var8]
                    var6[var7][var8] = 'D'
                else:
                    var4[var7][var8] = var4[var7][var8 - 1] + var1[var7][var8]
                    var6[var7][var8] = 'R'
            elif var7 > 0:
                var4[var7][var8] = var4[var7 - 1][var8] + var1[var7][var8]
                var6[var7][var8] = 'D'
            elif var8 > 0:
                var4[var7][var8] = var4[var7][var8 - 1] + var1[var7][var8]
                var6[var7][var8] = 'R'
    var9 = ''
    var7, var8 = (var2 - 1, var3 - 1)
    while var7 > 0 or var8 > 0:
        var9 = var6[var7][var8] + var9
        if var6[var7][var8] == 'D':
            var7 -= 1
        else:
            var8 -= 1
    return (var4[var2 - 1][var3 - 1], var9)",Turtle
226,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0])
    var4 = [[0] * var3 for var5 in range(var2)]
    var4[0][0] = var1[0][0]
    for var6 in range(var2):
        for var7 in range(var3):
            if var6 == 0 and var7 == 0:
                continue
            var4[var6][var7] = float('inf')
            if var6 > 0:
                var4[var6][var7] = min(var4[var6][var7], var4[var6 - 1][var7] + var1[var6][var7])
            if var7 > 0:
                var4[var6][var7] = min(var4[var6][var7], var4[var6][var7 - 1] + var1[var6][var7])
    var8 = ''
    var6, var7 = (var2 - 1, var3 - 1)
    while var6 > 0 or var7 > 0:
        if var6 > 0 and var4[var6][var7] == var4[var6 - 1][var7] + var1[var6][var7]:
            var8 = 'D' + var8
            var6 -= 1
        else:
            var8 = 'R' + var8
            var7 -= 1
    return (var4[var2 - 1][var3 - 1], var8)",Turtle
227,"def var0(var1):
    var2, var3 = (len(var1), len(var1[0]))
    if var2 == 0 or var3 == 0:
        return (0, '')
    var4 = [float('inf')] * var3
    var4[0] = var1[0][0]
    for var5 in range(1, var2):
        var6 = [float('inf')] * var3
        for var7 in range(var3):
            var6[var7] = var1[var5][var7] + min(var4[var7] if var7 == 0 else var4[var7 - 1], var4[var7])
        var4 = var6
    var8 = ''
    var5, var7 = (var2 - 1, var3 - 1)
    while var5 > 0 or var7 > 0:
        if var5 > 0 and var4[var7] == var1[var5][var7] + var4[var7]:
            var8 = 'D' + var8
            var5 -= 1
        else:
            var8 = 'R' + var8
            var7 -= 1
    return (var4[var3 - 1], var8)",Turtle
228,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0])
    if var2 == 0 or var3 == 0:
        return (0, '')
    var4 = [(0, '') for var5 in range(var3)]
    var4[0] = (var1[0][0], '')
    for var6 in range(1, var2):
        var7 = [(0, '') for var5 in range(var3)]
        var7[0] = (var1[var6][0] + var4[0][0], 'D' + var4[0][1])
        for var8 in range(1, var3):
            var9, var10 = var4[var8]
            var11, var12 = (var1[var6][var8] + var7[var8 - 1][0], 'R' + var7[var8 - 1][1])
            if var9 <= var11:
                var7[var8] = (var9, 'D' + var4[var8][1])
            else:
                var7[var8] = (var11, var12)
        var4 = var7
    return var4[var3 - 1]",Turtle
229,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0])
    var4 = [[0 for var5 in range(var3)] for var5 in range(var2)]
    for var6 in range(var2):
        for var7 in range(var3):
            if var6 == 0 and var7 == 0:
                var4[var6][var7] = var1[var6][var7]
            elif var6 == 0:
                var4[var6][var7] = var4[var6][var7 - 1] + var1[var6][var7]
            elif var7 == 0:
                var4[var6][var7] = var4[var6 - 1][var7] + var1[var6][var7]
            else:
                var4[var6][var7] = min(var4[var6 - 1][var7], var4[var6][var7 - 1]) + var1[var6][var7]
    var8 = ''
    var6, var7 = (var2 - 1, var3 - 1)
    while var6 > 0 or var7 > 0:
        if var6 > 0 and var7 > 0 and (var4[var6 - 1][var7] <= var4[var6][var7 - 1]):
            var8 = 'D' + var8
            var6 -= 1
        else:
            var8 = 'R' + var8
            var7 -= 1
    return (var4[var2 - 1][var3 - 1], var8)",Turtle
230,"def var0(var1):
    var2, var3 = (len(var1), len(var1[0]))
    var4 = [[(float('inf'), '') for var5 in range(var3)] for var5 in range(var2)]
    var4[0][0] = (var1[0][0], '')
    for var6 in range(var2):
        for var7 in range(var3):
            if var6 + 1 < var2:
                if var4[var6 + 1][var7][0] > var4[var6][var7][0] + var1[var6 + 1][var7]:
                    var4[var6 + 1][var7] = (var4[var6][var7][0] + var1[var6 + 1][var7], var4[var6][var7][1] + 'D')
            if var7 + 1 < var3:
                if var4[var6][var7 + 1][0] > var4[var6][var7][0] + var1[var6][var7 + 1]:
                    var4[var6][var7 + 1] = (var4[var6][var7][0] + var1[var6][var7 + 1], var4[var6][var7][1] + 'R')
    return var4[var2 - 1][var3 - 1]",Turtle
231,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0]) if var2 else 0
    var4 = {}
    def var5(var6, var7):
        if (var6, var7) in var4:
            return var4[var6, var7]
        if var6 == var2 - 1 and var7 == var3 - 1:
            return (var1[var6][var7], '')
        if var6 >= var2 or var7 >= var3:
            return (float('inf'), '')
        var8, var9 = var5(var6 + 1, var7)
        var10, var11 = var5(var6, var7 + 1)
        if var8 < var10:
            var4[var6, var7] = (var1[var6][var7] + var8, 'D' + var9)
            return (var1[var6][var7] + var8, 'D' + var9)
        else:
            var4[var6, var7] = (var1[var6][var7] + var10, 'R' + var11)
            return (var1[var6][var7] + var10, 'R' + var11)
    if not var1 or not var1[0]:
        return (0, '')
    return var5(0, 0)",Turtle
232,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0]) if var2 else 0
    var4 = [[0] * var3 for var5 in range(var2)]
    var6 = [[''] * var3 for var5 in range(var2)]
    var4[0][0] = var1[0][0]
    for var7 in range(1, var2):
        var4[var7][0] = var4[var7 - 1][0] + var1[var7][0]
        var6[var7][0] = 'D' + var6[var7 - 1][0]
    for var8 in range(1, var3):
        var4[0][var8] = var4[0][var8 - 1] + var1[0][var8]
        var6[0][var8] = 'R' + var6[0][var8 - 1]
    for var7 in range(1, var2):
        for var8 in range(1, var3):
            if var4[var7 - 1][var8] < var4[var7][var8 - 1]:
                var4[var7][var8] = var4[var7 - 1][var8] + var1[var7][var8]
                var6[var7][var8] = 'D' + var6[var7 - 1][var8]
            else:
                var4[var7][var8] = var4[var7][var8 - 1] + var1[var7][var8]
                var6[var7][var8] = 'R' + var6[var7][var8 - 1]
    return (var4[var2 - 1][var3 - 1], var6[var2 - 1][var3 - 1])",Turtle
233,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0]) if var2 else 0
    if var2 == 0 or var3 == 0:
        return (0, '')
    var4 = [0] * var3
    var5 = [''] * var3
    for var6 in range(var3):
        var4[var6] = var1[0][var6]
        var5[var6] = 'R' * var6
    for var7 in range(1, var2):
        var8 = [0] * var3
        var9 = [''] * var3
        var8[0] = var4[0] + var1[var7][0]
        var9[0] = 'D' + var5[0]
        for var6 in range(1, var3):
            if var4[var6] < var8[var6 - 1]:
                var8[var6] = var4[var6] + var1[var7][var6]
                var9[var6] = 'D' + var5[var6]
            else:
                var8[var6] = var8[var6 - 1] + var1[var7][var6]
                var9[var6] = 'R' + var9[var6 - 1]
        var4 = var8
        var5 = var9
    return (var4[var3 - 1], var5[var3 - 1])",Turtle
234,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0]) if var2 else 0
    if var2 == 0 or var3 == 0:
        return (0, '')
    for var4 in range(var2):
        for var5 in range(var3):
            if var4 == 0 and var5 == 0:
                continue
            var6 = var1[var4 - 1][var5] if var4 > 0 else float('inf')
            var7 = var1[var4][var5 - 1] if var5 > 0 else float('inf')
            var1[var4][var5] += min(var6, var7)
    var8 = ''
    var4, var5 = (var2 - 1, var3 - 1)
    while var4 > 0 or var5 > 0:
        if var4 > 0 and (var5 == 0 or var1[var4 - 1][var5] <= var1[var4][var5 - 1]):
            var8 = 'D' + var8
            var4 -= 1
        else:
            var8 = 'R' + var8
            var5 -= 1
    return (var1[var2 - 1][var3 - 1], var8)",Turtle
235,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0]) if var2 else 0
    var4 = [[0] * var3 for var5 in range(var2)]
    var6 = [[(None, None)] * var3 for var5 in range(var2)]
    var4[0][0] = var1[0][0]
    for var7 in range(1, var2):
        var4[var7][0] = var4[var7 - 1][0] + var1[var7][0]
        var6[var7][0] = (var7 - 1, 0)
    for var8 in range(1, var3):
        var4[0][var8] = var4[0][var8 - 1] + var1[0][var8]
        var6[0][var8] = (0, var8 - 1)
    for var7 in range(1, var2):
        for var8 in range(1, var3):
            if var4[var7 - 1][var8] < var4[var7][var8 - 1]:
                var4[var7][var8] = var4[var7 - 1][var8] + var1[var7][var8]
                var6[var7][var8] = (var7 - 1, var8)
            else:
                var4[var7][var8] = var4[var7][var8 - 1] + var1[var7][var8]
                var6[var7][var8] = (var7, var8 - 1)
    var9 = ''
    var7, var8 = (var2 - 1, var3 - 1)
    while var7 != 0 or var8 != 0:
        var10, var11 = var6[var7][var8]
        if var10 == var7 - 1:
            var9 = 'D' + var9
        else:
            var9 = 'R' + var9
        var7, var8 = (var10, var11)
    return (var4[var2 - 1][var3 - 1], var9)",Turtle
236,"def var0(var1):
    def var2(var3, var4):
        if var3 == len(var1) - 1 and var4 == len(var1[0]) - 1:
            yield ''
        elif var3 >= len(var1) or var4 >= len(var1[0]):
            return
        else:
            if var3 + 1 < len(var1) and (var4 == len(var1[0]) - 1 or var1[var3 + 1][var4] <= var1[var3][var4 + 1]):
                for var5 in var2(var3 + 1, var4):
                    yield ('D' + var5)
            if var4 + 1 < len(var1[0]):
                for var5 in var2(var3, var4 + 1):
                    yield ('R' + var5)
    def var6(var1):
        var7 = float('inf')
        var8 = None
        for var9 in var2(0, 0):
            var10 = sum((var1[var11][var12] for var11, var12 in zip(range(len(var1)), [0] * len(var1)) if 'R' not in var9 and 'D' not in var9))
            var10 = 0
            var13, var14 = (0, 0)
            for var15 in var9:
                var10 += var1[var13][var14]
                if var15 == 'D':
                    var13 += 1
                else:
                    var14 += 1
            var10 += var1[len(var1) - 1][len(var1[0]) - 1]
            if var10 < var7:
                var7 = var10
                var8 = var9
        return (var7, var8)
    if not var1 or not var1[0]:
        return (0, '')
    return var6(var1)",Turtle
237,"from functools import reduce
def var0(var1):
    if not var1 or not var1[0]:
        return (0, '')
    var2, var3 = (len(var1), len(var1[0]))
    var4 = reduce(lambda var5, var6: var5 + [[0] * var3], range(var2), [])
    var4[0][0] = var1[0][0]
    for var6 in range(var2):
        for var7 in range(var3):
            if var6 == 0 and var7 == 0:
                continue
            var4[var6][var7] = var1[var6][var7] + min(var4[var6 - 1][var7] if var6 > 0 else float('inf'), var4[var6][var7 - 1] if var7 > 0 else float('inf'))
    var8 = ''
    var6, var7 = (var2 - 1, var3 - 1)
    while var6 > 0 or var7 > 0:
        if var6 > 0 and (var7 == 0 or var4[var6 - 1][var7] <= var4[var6][var7 - 1]):
            var8 = 'D' + var8
            var6 -= 1
        else:
            var8 = 'R' + var8
            var7 -= 1
    return (var4[var2 - 1][var3 - 1], var8)",Turtle
238,"import numpy as np
def var0(var1):
    var2 = np.array(var1)
    var3, var4 = var2.shape
    var5 = np.zeros((var3, var4), dtype=int)
    var5[0, 0] = var2[0, 0]
    for var6 in range(1, var3):
        var5[var6, 0] = var5[var6 - 1, 0] + var2[var6, 0]
    for var7 in range(1, var4):
        var5[0, var7] = var5[0, var7 - 1] + var2[0, var7]
    for var6 in range(1, var3):
        for var7 in range(1, var4):
            var5[var6, var7] = var2[var6, var7] + min(var5[var6 - 1, var7], var5[var6, var7 - 1])
    var8 = ''
    var6, var7 = (var3 - 1, var4 - 1)
    while var6 > 0 or var7 > 0:
        if var6 > 0 and (var7 == 0 or var5[var6 - 1, var7] <= var5[var6, var7 - 1]):
            var8 = 'D' + var8
            var6 -= 1
        else:
            var8 = 'R' + var8
            var7 -= 1
    return (var5[var3 - 1, var4 - 1], var8)",Turtle
239,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0]) if var2 else 0
    if var2 == 0 or var3 == 0:
        return (0, '')
    var4 = [[0] * var3 for var5 in range(var2)]
    var4[0][0] = var1[0][0]
    for var6 in range(1, var2):
        var4[var6][0] = var4[var6 - 1][0] + var1[var6][0]
    for var7 in range(1, var3):
        var4[0][var7] = var4[0][var7 - 1] + var1[0][var7]
    for var6 in range(1, var2):
        for var7 in range(1, var3):
            var4[var6][var7] = min(var4[var6 - 1][var7], var4[var6][var7 - 1]) + var1[var6][var7]
    var8 = ''
    var6, var7 = (var2 - 1, var3 - 1)
    while var6 > 0 or var7 > 0:
        if var6 > 0 and var4[var6 - 1][var7] <= var4[var6][var7 - 1]:
            var8 = 'D' + var8
            var6 -= 1
        else:
            var8 = 'R' + var8
            var7 -= 1
    return (var4[var2 - 1][var3 - 1], var8)",Turtle
240,"import concurrent.futures
def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0]) if var2 else 0
    if var2 == 0 or var3 == 0:
        return (0, '')
    var4 = [[0] * var3 for var5 in range(var2)]
    var4[0][0] = var1[0][0]
    for var6 in range(1, var2):
        var4[var6][0] = var4[var6 - 1][0] + var1[var6][0]
    for var7 in range(1, var3):
        var4[0][var7] = var4[0][var7 - 1] + var1[0][var7]
    with concurrent.futures.ThreadPoolExecutor() as var8:
        var9 = []
        for var6 in range(1, var2):
            for var7 in range(1, var3):
                var9.append(var8.submit(var10, var1, var4, var6, var7))
        concurrent.futures.wait(var9)
    var11 = ''
    var6, var7 = (var2 - 1, var3 - 1)
    while var6 > 0 or var7 > 0:
        if var6 > 0 and (var7 == 0 or var4[var6 - 1][var7] <= var4[var6][var7 - 1]):
            var11 = 'D' + var11
            var6 -= 1
        else:
            var11 = 'R' + var11
            var7 -= 1
    return (var4[var2 - 1][var3 - 1], var11)
def var10(var1, var4, var6, var7):
    var4[var6][var7] = min(var4[var6 - 1][var7], var4[var6][var7 - 1]) + var1[var6][var7]",Turtle
241,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0]) if var2 > 0 else 0
    var4 = {}
    def var5(var6, var7):
        if (var6, var7) in var4:
            return var4[var6, var7]
        if var6 == var2 - 1 and var7 == var3 - 1:
            return (var1[var6][var7], '')
        if var6 >= var2 or var7 >= var3:
            return (float('inf'), '')
        var8, var9 = var5(var6 + 1, var7)
        var10, var11 = var5(var6, var7 + 1)
        if var8 < var10:
            var4[var6, var7] = (var1[var6][var7] + var8, 'D' + var9)
        else:
            var4[var6, var7] = (var1[var6][var7] + var10, 'R' + var11)
        return var4[var6, var7]
    if not var1:
        return (0, '')
    return var5(0, 0)",Turtle
242,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0]) if var2 > 0 else 0
    var4 = [[0] * var3 for var5 in range(var2)]
    var6 = [[''] * var3 for var5 in range(var2)]
    var4[0][0] = var1[0][0]
    for var7 in range(1, var2):
        var4[var7][0] = var4[var7 - 1][0] + var1[var7][0]
        var6[var7][0] = 'D' + var6[var7 - 1][0]
    for var8 in range(1, var3):
        var4[0][var8] = var4[0][var8 - 1] + var1[0][var8]
        var6[0][var8] = 'R' + var6[0][var8 - 1]
    for var7 in range(1, var2):
        for var8 in range(1, var3):
            if var4[var7 - 1][var8] < var4[var7][var8 - 1]:
                var4[var7][var8] = var4[var7 - 1][var8] + var1[var7][var8]
                var6[var7][var8] = 'D' + var6[var7 - 1][var8]
            else:
                var4[var7][var8] = var4[var7][var8 - 1] + var1[var7][var8]
                var6[var7][var8] = 'R' + var6[var7][var8 - 1]
    return (var4[var2 - 1][var3 - 1], var6[var2 - 1][var3 - 1])",Turtle
243,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0]) if var2 > 0 else 0
    if var2 == 0:
        return (0, '')
    var4 = [0] * var3
    var5 = [''] * var3
    var4[0] = var1[0][0]
    for var6 in range(1, var3):
        var4[var6] = var4[var6 - 1] + var1[0][var6]
        var5[var6] = 'R' + var5[var6 - 1]
    for var7 in range(1, var2):
        var8 = [0] * var3
        var9 = [''] * var3
        var8[0] = var4[0] + var1[var7][0]
        var9[0] = 'D' + var5[0]
        for var6 in range(1, var3):
            if var4[var6] < var8[var6 - 1]:
                var8[var6] = var4[var6] + var1[var7][var6]
                var9[var6] = 'D' + var5[var6]
            else:
                var8[var6] = var8[var6 - 1] + var1[var7][var6]
                var9[var6] = 'R' + var9[var6 - 1]
        var4 = var8
        var5 = var9
    return (var4[var3 - 1], var5[var3 - 1])",Turtle
244,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0]) if var2 > 0 else 0
    if var2 == 0:
        return (0, '')
    for var4 in range(var2):
        for var5 in range(var3):
            if var4 == 0 and var5 == 0:
                continue
            var6 = var1[var4 - 1][var5] if var4 > 0 else float('inf')
            var7 = var1[var4][var5 - 1] if var5 > 0 else float('inf')
            var1[var4][var5] += min(var6, var7)
    var8 = var1[var2 - 1][var3 - 1]
    var9 = ''
    var4, var5 = (var2 - 1, var3 - 1)
    while var4 > 0 or var5 > 0:
        if var4 > 0 and var5 > 0:
            if var1[var4 - 1][var5] < var1[var4][var5 - 1]:
                var9 = 'D' + var9
                var4 -= 1
            else:
                var9 = 'R' + var9
                var5 -= 1
        elif var4 > 0:
            var9 = 'D' + var9
            var4 -= 1
        else:
            var9 = 'R' + var9
            var5 -= 1
    return (var8, var9)",Turtle
245,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0]) if var2 > 0 else 0
    var4 = [[0] * var3 for var5 in range(var2)]
    var6 = [[None] * var3 for var5 in range(var2)]
    for var7 in range(var2):
        for var8 in range(var3):
            if var7 == 0 and var8 == 0:
                continue
            var9 = var4[var7 - 1][var8] if var7 > 0 else float('inf')
            var10 = var4[var7][var8 - 1] if var8 > 0 else float('inf')
            if var9 < var10:
                var4[var7][var8] = var9 + var1[var7][var8]
                var6[var7][var8] = (var7 - 1, var8)
            else:
                var4[var7][var8] = var10 + var1[var7][var8]
                var6[var7][var8] = (var7, var8 - 1)
    var11 = ''
    var7, var8 = (var2 - 1, var3 - 1)
    while var7 != 0 or var8 != 0:
        if var6[var7][var8] is None:
            break
        var12, var13 = var6[var7][var8]
        if var12 == var7 - 1:
            var11 = 'D' + var11
        else:
            var11 = 'R' + var11
        var7, var8 = (var12, var13)
    return (var4[var2 - 1][var3 - 1], var11)",Turtle
246,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0]) if var2 > 0 else 0
    def var4(var5, var6):
        if var5 == var2 - 1 and var6 == var3 - 1:
            yield ''
        elif var5 + 1 < var2 and var6 + 1 < var3:
            if var1[var5 + 1][var6] < var1[var5][var6 + 1]:
                yield 'D'
                for var7 in var4(var5 + 1, var6):
                    yield ('D' + var7)
            else:
                yield 'R'
                for var7 in var4(var5, var6 + 1):
                    yield ('R' + var7)
        elif var5 + 1 < var2:
            yield 'D'
            for var7 in var4(var5 + 1, var6):
                yield ('D' + var7)
        elif var6 + 1 < var3:
            yield 'R'
            for var7 in var4(var5, var6 + 1):
                yield ('R' + var7)
    if not var1:
        return (0, '')
    var8 = float('inf')
    var9 = ''
    for var10 in var4(0, 0):
        var11 = 0
        var12, var13 = (0, 0)
        for var14 in var10:
            var11 += var1[var12][var13]
            if var14 == 'D':
                var12 += 1
            else:
                var13 += 1
        var11 += var1[var2 - 1][var3 - 1]
        if var11 < var8:
            var8 = var11
            var9 = var10
    return (var8, var9)",Turtle
247,"from functools import reduce
def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0]) if var2 > 0 else 0
    if var2 == 0:
        return (0, '')
    var4 = reduce(lambda var5, var6: var5 + [reduce(lambda var7, var8: var7 + [var1[var6][var8] + (var5[var8 - 1] if var8 > 0 else 0) if var6 == 0 else var1[var6][var8] + min(var5[var8] if var8 > 0 else float('inf'), var5[var8 - 1] if var8 > 0 else float('inf'))], [], range(var3))], [], range(var2))
    var9 = var4[-1][-1]
    var10 = ''
    var6, var8 = (var2 - 1, var3 - 1)
    while var6 > 0 or var8 > 0:
        if var6 > 0 and var8 > 0:
            if var1[var6 - 1][var8] < var1[var6][var8 - 1]:
                var10 = 'D' + var10
                var6 -= 1
            else:
                var10 = 'R' + var10
                var8 -= 1
        elif var6 > 0:
            var10 = 'D' + var10
            var6 -= 1
        else:
            var10 = 'R' + var10
            var8 -= 1
    return (var9, var10)",Turtle
248,"import numpy as np
def var0(var1):
    var2 = np.array(var1)
    var3, var4 = var2.shape
    var5 = np.zeros((var3, var4), dtype=int)
    var5[0, 0] = var2[0, 0]
    for var6 in range(1, var3):
        var5[var6, 0] = var5[var6 - 1, 0] + var2[var6, 0]
    for var7 in range(1, var4):
        var5[0, var7] = var5[0, var7 - 1] + var2[0, var7]
    for var6 in range(1, var3):
        for var7 in range(1, var4):
            var5[var6, var7] = var2[var6, var7] + min(var5[var6 - 1, var7], var5[var6, var7 - 1])
    var8 = ''
    var6, var7 = (var3 - 1, var4 - 1)
    while var6 > 0 or var7 > 0:
        if var6 > 0 and var7 > 0:
            if var5[var6 - 1, var7] < var5[var6, var7 - 1]:
                var8 = 'D' + var8
                var6 -= 1
            else:
                var8 = 'R' + var8
                var7 -= 1
        elif var6 > 0:
            var8 = 'D' + var8
            var6 -= 1
        else:
            var8 = 'R' + var8
            var7 -= 1
    return (var5[var3 - 1, var4 - 1], var8)",Turtle
249,"def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0]) if var2 > 0 else 0
    var4 = [[0] * var3 for var5 in range(var2)]
    var6 = [[''] * var3 for var5 in range(var2)]
    var4[0][0] = var1[0][0]
    for var7 in range(1, var2):
        var4[var7][0] = var4[var7 - 1][0] + var1[var7][0]
        var6[var7][0] = 'D' + var6[var7 - 1][0]
    for var8 in range(1, var3):
        var4[0][var8] = var4[0][var8 - 1] + var1[0][var8]
        var6[0][var8] = 'R' + var6[0][var8 - 1]
    for var7 in range(1, var2):
        for var8 in range(1, var3):
            if var4[var7 - 1][var8] < var4[var7][var8 - 1]:
                var4[var7][var8] = var4[var7 - 1][var8] + var1[var7][var8]
                var6[var7][var8] = 'D' + var6[var7 - 1][var8]
            else:
                var4[var7][var8] = var4[var7][var8 - 1] + var1[var7][var8]
                var6[var7][var8] = 'R' + var6[var7][var8 - 1]
    return (var4[var2 - 1][var3 - 1], var6[var2 - 1][var3 - 1])",Turtle
250,"import multiprocessing
def var0(var1):
    var2 = len(var1)
    var3 = len(var1[0]) if var2 > 0 else 0
    if var2 == 0:
        return (0, '')
    var4 = [[0] * var3 for var5 in range(var2)]
    var6 = [[''] * var3 for var5 in range(var2)]
    var4[0][0] = var1[0][0]
    for var7 in range(1, var3):
        var4[0][var7] = var4[0][var7 - 1] + var1[0][var7]
        var6[0][var7] = 'R' + var6[0][var7 - 1]
    def var8(var9):
        var4[var9][0] = var4[var9 - 1][0] + var1[var9][0]
        var6[var9][0] = 'D' + var6[var9 - 1][0]
        for var7 in range(1, var3):
            if var4[var9 - 1][var7] < var4[var9][var7 - 1]:
                var4[var9][var7] = var4[var9 - 1][var7] + var1[var9][var7]
                var6[var9][var7] = 'D' + var6[var9 - 1][var7]
            else:
                var4[var9][var7] = var4[var9][var7 - 1] + var1[var9][var7]
                var6[var9][var7] = 'R' + var6[var9][var7 - 1]
    with multiprocessing.Pool() as var10:
        var10.map(var8, range(1, var2))
    return (var4[var2 - 1][var3 - 1], var6[var2 - 1][var3 - 1])",Turtle
251,"var0, var1 = map(int, input().split())
var2 = [list(map(int, input().split())) for var3 in range(var0)]
var4 = [[0] * var1 for var3 in range(var0)]
var5 = [[''] * var1 for var3 in range(var0)]
var4[0][0] = var2[0][0]
for var6 in range(1, var0):
    var4[var6][0] = var4[var6 - 1][0] + var2[var6][0]
    var5[var6][0] = var5[var6 - 1][0] + 'D'
for var7 in range(1, var1):
    var4[0][var7] = var4[0][var7 - 1] + var2[0][var7]
    var5[0][var7] = var5[0][var7 - 1] + 'R'
for var6 in range(1, var0):
    for var7 in range(1, var1):
        if var4[var6 - 1][var7] > var4[var6][var7 - 1]:
            var4[var6][var7] = var4[var6 - 1][var7] + var2[var6][var7]
            var5[var6][var7] = var5[var6 - 1][var7] + 'D'
        else:
            var4[var6][var7] = var4[var6][var7 - 1] + var2[var6][var7]
            var5[var6][var7] = var5[var6][var7 - 1] + 'R'",Turtle
252,"var0, var1 = map(int, input().split())
var2 = [list(map(int, input().split())) for var3 in range(var0)]
var4 = {}
var5 = {}
def var6(var7, var8):
    if (var7, var8) in var4:
        return var4[var7, var8]
    if var7 == 0 and var8 == 0:
        return var2[0][0]
    if var7 < 0 or var8 < 0:
        return float('-inf')
    var9 = var6(var7 - 1, var8)
    var10 = var6(var7, var8 - 1)
    if var9 > var10:
        var4[var7, var8] = var9 + var2[var7][var8]
        var5[var7, var8] = 'D'
    else:
        var4[var7, var8] = var10 + var2[var7][var8]
        var5[var7, var8] = 'R'
    return var4[var7, var8]
var11 = var6(var0 - 1, var1 - 1)
var12 = ''
var13, var14 = (var0 - 1, var1 - 1)
while var13 > 0 or var14 > 0:
    var12 = var5[var13, var14] + var12
    if var5[var13, var14] == 'D':
        var13 -= 1
    else:
        var14 -= 1",Turtle
